I/O,I,I,I,I,O,O
run,a,b,c,d,x,y
1,0,0,0,0,1,0
2,0,0,1,0,1,0
3,1,0,1,0,1,0
4,0,1,0,0,1,0
5,0,0,1,1,1,0
6,1,1,1,0,1,0
7,1,1,0,0,0,0
8,0,0,0,0,1,0
9,0,0,0,0,1,0
10,1,0,1,1,1,0
11,1,1,1,1,1,0
12,1,0,0,1,1,0
13,1,0,0,0,1,0
14,1,0,1,0,1,0
15,0,0,0,1,1,0
16,0,1,0,0,1,0
17,1,0,1,1,1,0
18,0,0,1,0,1,0
19,0,1,1,1,1,0
20,1,1,0,1,0,0
